"Väestö muuttujina Vuosi, Sukupuoli ja Ikäluokka"
"1965";4569896;390891;401860;435402;482168;355180;296260;278204;302010;287844;248616;262382;254676;203467;154593;104832;66132;32073;13306;2207250;199196;204970;221854;246322;181393;151326;141708;151310;135926;112789;119466;114680;87969;62001;39380;22822;10183;3955;2362646;191695;196890;213548;235846;173787;144934;136496;150700;151918;135827;142916;139996;115498;92592;65452;43310;21890;9351
"1966";4591842;385988;394866;432183;469889;369813;316327;275173;300202;289725;255289;254870;256956;209212;160366;107108;67430;33037;13408;2218601;196834;201069;220352;240252;188870;161752;139760;151143;139009;115854;115114;115754;90350;64830;39926;23310;10411;4011;2373241;189154;193797;211831;229637;180943;154575;135413;149059;150716;139435;139756;141202;118862;95536;67182;44120;22626;9397
"1967";4619645;382156;390958;423583;460406;411093;310722;278281;296830;292048;259816;247905;258224;216031;165781;110133;67980;33745;13953;2232588;194988;198983;215974;235514;210249;158732;141438;149579;142175;118177;111409;115948;93263;67170;40716;23507;10649;4117;2387057;187168;191975;207609;224892;200844;151990;136843;147251;149873;141639;136496;142276;122768;98611;69417;44473;23096;9836
"1968";4633292;372546;391813;414568;445639;437405;311451;287529;287550;293081;266180;244665;256640;222666;168317;116118;67753;34753;14618;2239681;189955;199642;211351;228138;224210;158709;146250;145085;144466;121817;109436;114798;95896;68500;42890;23406;10919;4213;2393611;182591;192171;203217;217501;213195;152742;141279;142465;148615;144363;135229;141842;126770;99817;73228;44347;23834;10405
"1969";4614277;356043;387365;406068;431099;449217;307109;293692;280349;294473;278883;233190;253044;228245;173398;121140;70163;35607;15192;2230217;181610;197626;207225;220667;231215;156816;148780;141630;145917;128611;104218;112659;98355;70549;44765;24067;11204;4303;2384060;174433;189739;198843;210432;218002;150293;144912;138719;148556;150272;128972;140385;129890;102849;76375;46096;24403;10889
"1970";4598336;339444;381160;397946;421170;445099;331031;287969;274525;294269;278969;238497;247313;233456;177463;124708;73386;36149;15782;2219985;173171;194431;202971;215689;228348;169075;145511;138817;146465;130270;106252;109496;100563;72058;46022;25142;11254;4450;2378351;166273;186729;194975;205481;216751;161956;142458;135708;147804;148699;132245;137817;132893;105405;78686;48244;24895;11332
"1971";4625912;327712;377381;390916;421729;442138;349107;307110;272543;293090;281004;245325;240178;236036;182572;129587;75406;37491;16587;2234037;167275;192445;199232;215563;227202;178746;155599;137678;146512;133302;109355;105466;101701;73981;48119;25586;11661;4614;2391875;160437;184936;191684;206166;214936;170361;151511;134865;146578;147702;135970;134712;134335;108591;81468;49820;25830;11973
"1972";4653401;314863;373815;387100;415882;438754;392432;301316;274999;290604;283842;249662;234660;237316;189244;134349;78691;38276;17596;2249051;160946;190605;197232;212305;225749;201603;153050;139101;145516;136705;111607;102497;102084;76641;50031;26603;11908;4868;2404350;153917;183210;189868;203577;213005;190829;148266;135898;145088;147137;138055;132163;135232;112603;84318;52088;26368;12728
"1973";4678761;302499;367418;388333;408523;431100;423755;304540;284590;282789;285700;256655;231831;236530;195521;137329;83682;39492;18474;2262142;154914;187338;197906;208330;221845;217851;155118;144193;141885;139323;115503;100795;101370;78941;51334;28197;12214;5085;2416619;147585;180080;190427;200193;209255;205904;149422;140397;140904;146377;141152;131036;135160;116580;85995;55485;27278;13389
"1974";4702387;300963;356256;386406;401987;423889;448938;308712;293098;277097;288314;269687;221509;233781;201301;142136;87915;41276;19122;2273815;153908;181760;196997;205224;217388;231243;157939;148536;139406;141513;122193;96186;99670;81364;53099;29469;12681;5239;2428572;147055;174496;189409;196763;206501;217695;150773;144562;137691;146801;147494;125323;134111;119937;89037;58446;28595;13883
"1975";4720492;303395;344339;382810;395592;417130;453205;336666;289668;272812;289296;270631;227320;229056;206729;146285;91519;43936;20103;2282115;155364;175672;195205;201797;213550;233379;172732;146594;137581;142756;124342;98496;97126;83590;54470;30575;13499;5387;2438377;148031;168667;187605;193795;203580;219826;163934;143074;135231;146540;146289;128824;131930;123139;91815;60944;30437;14716
"1976";4730836;307599;330742;378715;388147;412670;442278;351868;307526;270335;287696;272526;233769;222691;209487;151465;95712;46126;21484;2286392;157791;168774;193079;197874;210823;227854;180707;155848;136123;142561;127259;101422;93647;84706;56344;31938;13961;5681;2444444;149808;161968;185636;190273;201847;214424;171161;151678;134212;145135;145267;132347;129044;124781;95121;63774;32165;15803
"1977";4746967;312572;316985;375674;384881;403364;431733;390943;300265;272488;285251;275440;238210;218000;211576;157916;100184;48725;22760;2295668;160122;161966;191579;196367;206357;222922;201259;152485;137415;141660;130681;103667;91271;85422;58655;33408;14398;6034;2451299;152450;155019;184095;188514;197007;208811;189684;147780;135073;143591;144759;134543;126729;126154;99261;66776;34327;16726
"1978";4758088;319534;302337;367915;385677;394116;419225;417783;301461;281075;277222;276817;244946;215630;211140;163582;102993;52598;24037;2300790;163543;154755;187592;196867;201673;216359;215013;153347;141889;137908;132909;107435;89896;84957;60533;34412;15414;6288;2457298;155991;147582;180323;188810;192443;202866;202770;148114;139186;139314;143908;137511;125734;126183;103049;68581;37184;17749
"1979";4771292;320963;298770;356276;383390;386877;409745;439882;304190;288906;271437;279478;257433;206367;209455;168901;107204;56105;25913;2306784;164208;152727;181731;195718;198280;210505;226791;155288;145783;135412;135164;113717;86043;83942;62600;35766;16397;6712;2464508;156755;146043;174545;187672;188597;199240;213091;148902;143123;136025;144314;143716;120324;125513;106301;71438;39708;19201
"1980";4787778;319531;300578;345100;380152;381371;403524;443722;331554;285468;267664;280688;258819;212225;205910;173942;111050;58743;27737;2314843;163355;153930;176032;194062;195409;206989;228742;169800;143950;133967;136509;116077;88355;82169;64474;36855;17079;7089;2472935;156176;146648;169068;186090;185962;196535;214980;161754;141518;133697;144179;142742;123870;123741;109468;74195;41664;20648
"1981";4812150;317950;306505;332337;377548;377248;402619;435921;347609;303812;265612;279769;260998;218653;200716;177266;115794;62101;29692;2327473;162438;157195;169541;192603;193220;206315;224914;178419;153514;132802;136749;119025;91219;79638;65915;38401;18078;7487;2484677;155512;149310;162796;184945;184028;196304;211007;169190;150298;132810;143020;141973;127434;121078;111351;77393;44023;22205
"1982";4841715;319796;314107;318137;374333;376229;397110;429239;388276;297042;267837;277378;263763;222943;196742;179800;121183;65611;32189;2342869;163570;160826;162554;190903;192704;203331;221547;199581;150313;134083;135878;122229;93364;77680;66913;40288;19106;7999;2498846;156226;153281;155583;183430;183525;193779;207692;188695;146729;133754;141500;141534;129579;119062;112887;80895;46505;24190
"1983";4869858;323426;322441;304473;367489;379836;391373;419156;416687;298954;276757;270091;265476;229757;195262;179773;126097;67842;34968;2357172;165384;164920;155848;187288;194436;200297;216249;214257;151539;138784;132666;124664;97087;76876;66688;41830;19791;8568;2512686;158042;157521;148625;180201;185400;191076;202907;202430;147415;137973;137425;140812;132670;118386;113085;84267;48051;26400
"1984";4893748;325311;324668;301526;356320;379548;386743;411379;439954;302189;284840;264891;268257;241852;187069;179077;131128;71141;37855;2369228;166464;165973;154149;181666;194142;198250;211233;226606;153777;142835;130626;126867;103007;73721;66244;43712;20682;9274;2524520;158847;158695;147377;174654;185406;188493;200146;213348;148412;142005;134265;141390;138845;113348;112833;87416;50459;28581
"1985";4910664;324742;323446;303344;345381;377268;382333;405916;444575;329792;281599;261536;269654;243344;192869;176323;135202;73642;39698;2377780;165994;165243;155314;176112;192739;195856;208099;228883;168445;141130;129451;128302;105312;76014;65008;45030;21320;9528;2532884;158748;158203;148030;169269;184529;186477;197817;215692;161347;140469;132085;141352;138032;116855;111315;90172;52322;30170
"1986";4925644;321566;321314;308733;332536;374244;377477;404391;436309;345642;299754;259572;269110;245621;199157;172367;138222;77189;42440;2385866;164400;164081;158287;169580;190928;193236;207005;224699;176796;150573;128346;128880;108177;78807;63217;46271;22374;10209;2539778;157166;157233;150446;162956;183316;184241;197386;211610;168846;149181;131226;140230;137444;120350;109150;91951;54815;32231
"1987";4938602;314880;322414;315649;318025;370748;375276;397877;428782;385651;292980;261688;267091;248274;203126;169502;140626;81139;44874;2392868;160796;164877;161545;162425;188923;191995;203365;220731;197535;147360;129606;128318;111253;80710;61983;47131;23538;10777;2545734;154084;157537;154104;155600;181825;183281;194512;208051;188116;145620;132082;138773;137021;122416;107519;93495;57601;34097
"1988";4954359;311064;325332;323585;304154;363775;377764;391222;417907;413394;294692;270273;260096;250160;209574;168554;140883;84877;47053;2401368;158829;166324;165459;155602;185256;193106;199831;214784;211665;148425;134091;125373;113819;84085;61666;47018;24674;11361;2552991;152235;159008;158126;148552;178519;184658;191391;203123;201729;146267;136182;134723;136341;125489;106888;93865;60203;35692
"1989";4974383;309419;327075;325775;301284;353391;377940;386877;410165;436378;297913;278177;255274;252983;220838;161743;140896;88552;49703;2412760;158072;167346;166516;153928;180017;193158;197918;209916;223804;150596;138055;123603;115967;89510;59336;47051;25999;11968;2561623;151347;159729;159259;147356;173374;184782;188959;200249;212574;147317;140122;131671;137016;131328;102407;93845;62553;37735
"1990";4998478;312485;326827;324891;303383;343608;376821;383326;405368;441173;325282;275265;252434;254650;222601;167296;139532;91593;51943;2426204;159773;167076;165979;155219;175039;192527;196001;207180;226073;165065;136588;122808;117581;91843;61511;46613;26903;12425;2572274;152712;159751;158912;148164;168569;184294;187325;198188;215100;160217;138677;129626;137069;130758;105785;92919;64690;39518
"1991";5029002;317756;324511;323331;309680;332830;376431;380129;405035;433899;341453;293585;251058;254554;225198;173336;136969;94277;54970;2443042;162288;165997;165090;158767;169630;192300;194261;206710;222410;173557;146054;122134;118437;94656;64059;45645;27944;13103;2585960;155468;158514;158241;150913;163200;184131;185868;198325;211489;167896;147531;128924;136117;130542;109277;91324;66333;41867
"1992";5054982;324759;318487;325034;317075;319454;374213;378982;399440;427055;381240;287170;253661;253161;228027;177469;135183;96524;58048;2457282;165864;162741;166199;162272;163134;191029;193682;203601;218769;194072;143038;123702;118273;97706;65843;44903;28577;13877;2597700;158895;155746;158835;154803;156320;183184;185300;195839;208286;187168;144132;129959;134888;130321;111626;90280;67947;44171
"1993";5077912;326440;315622;328667;325595;306405;368480;382300;393435;417037;409135;289144;262399;247125;230284;183669;134943;96931;60301;2470196;166569;161237;168033;166427;156736;187952;195434;200415;213391;208269;144260;128255;115969;100353;68920;44886;28550;14540;2607716;159871;154385;160634;159168;149669;180528;186866;193020;203646;200866;144884;134144;131156;129931;114749;90057;68381;45761
"1994";5098754;327702;313943;330599;327902;303187;357733;382020;388699;409270;431795;292435;270468;243283;233739;193957;130265;97798;63959;2481649;167011;160466;169194;167527;154838;182487;195346;198272;208403;220058;146495;132270;114936;102809;73667;43454;28848;15568;2617105;160691;153477;161405;160375;148349;175246;186674;190427;200867;211737;145940;138198;128347;130930;120290;86811;68950;48391
"1995";5116826;324870;316643;330257;327118;305051;347131;379987;384742;404232;436449;319111;267867;240951;235870;196407;135771;97351;67018;2491701;165466;161971;168870;167008;156008;177046;194189;196143;205482;222209;160523;131071;114461;104628;76020;45522;28755;16329;2625125;159404;154672;161387;160110;149043;170085;185798;188599;198750;214240;158588;136796;126490;131242;120387;90249;68596;50689
"1996";5132320;320172;320975;327420;325344;310629;334569;377527;380187;403081;428832;334890;285534;240005;236340;199273;141399;96276;69867;2500596;163336;163925;167498;166083;159086;170510;192790;193667;204651;218371;168729;140106;114076;105880;78832;47688;28269;17099;2631724;156836;157050;159922;159261;151543;164059;184737;186520;198430;210461;166161;145428;125929;130460;120441;93711;68007;52768
"1997";5147349;312733;327353;321264;326932;317870;320816;374399;378530;397190;421934;373934;279074;242832;235617;202451;145669;96037;72714;2509098;159286;167130;164178;167145;162473;163755;191034;192836;201507;214671;188644;137110;115865;106122;81866;49496;28181;17799;2638251;153447;160223;157086;159787;155397;157061;183365;185694;195683;207263;185290;141964;126967;129495;120585;96173;67856;54915
"1998";5159646;304936;328311;317898;330273;326044;307320;367975;381393;391075;411958;401144;281074;251425;230291;205111;151523;96973;74922;2516075;155417;167495;162413;168854;166533;157174;187594;194367;198237;209355;202307;138400;120292;104275;84586;52144;28474;18158;2643571;149519;160816;155485;161419;159511;150146;180381;187026;192838;202603;198837;142674;131133;126016;120525;99379;68499;56764
"1999";5171302;297522;329375;316104;332206;328066;304448;357565;380939;386486;404445;423566;284194;259218;227163;208620;160330;93999;77056;2523026;151759;167831;161552;169996;167606;155590;182321;194200;196273;204582;213919;140513;124103;103675;86775;55966;27816;18549;2648276;145763;161544;154552;162210;160460;148858;175244;186739;190213;199863;209647;143681;135115;123488;121845;104364;66183;58507
"2000";5181115;291275;326424;318634;331778;327230;306202;346890;378646;382265;399427;428147;310083;256916;225524;211265;163283;98731;78395;2529341;148851;166231;162947;169617;167084;156842;176839;192915;193976;201745;215979;154028;123117;103778;88852;58256;29459;18825;2651774;142424;160193;155687;162161;160146;149360;170051;185731;188289;197682;212168;156055;133799;121746;122413;105027;69272;59570
"2001";5194901;286792;321777;323018;329220;325599;312190;335071;376538;378091;398557;420940;325664;274073;225223;212474;166355;103659;79660;2537597;146445;164106;164959;168400;166249;160236;170678;191831;191720;201113;212453;162079;131892;103927;90397;60886;31184;19042;2657304;140347;157671;158059;160820;159350;151954;164393;184707;186371;197444;208487;163585;142181;121296;122077;105469;72475;60618
"2002";5206295;283195;314463;329351;323130;327262;319485;321645;373457;376608;393036;414266;363817;268016;228179;212476;169477;107487;80945;2544916;144988;160159;168163;165139;167305;163651;164134;190176;191029;198164;208985;181388;129277;105749;91018;63520;32679;19392;2661379;138207;154304;161188;157991;159957;155834;157511;183281;185579;194872;205281;182429;138739;122430;121458;105957;74808;61553
"2003";5219732;283137;306715;330245;319754;330871;327973;308602;367428;379711;387053;404572;390583;269893;236582;208415;172779;112760;82659;2552893;144920;156323;168457;163377;169099;167827;157884;186935;192739;195024;203830;194731;130548;110107;90050;66306;34871;19865;2666839;138217;150392;161788;156377;161772;160146;150718;180493;186972;192029;200742;195852;139345;126475;118365;106473;77889;62794
"2004";5236611;283693;299434;331433;318105;333364;330853;306354;357316;379466;382724;397493;412327;273109;244189;206336;177097;120243;83075;2562077;145288;152711;168881;162574;170494;169294;156605;181791;192668;193185;199376;205792;132760;113827;90150;68708;37884;20089;2674534;138405;146723;162552;155531;162870;161559;149749;175525;186798;189539;198117;206535;140349;130362;116186;108389;82359;62986
"2005";5255580;284949;293416;328539;320942;333936;331174;308990;347754;377782;379095;392973;416888;297977;242434;205764;180520;123858;88589;2572350;145596;149894;167327;164118;170710;169408;158395;176975;191803;191198;196815;207826;145517;113204;90986;70909;40013;21656;2683230;139353;143522;161212;156824;163226;161766;150595;170779;185979;187897;196158;209062;152460;129230;114778;109611;83845;66933
"2006";5276955;288127;289219;323835;325347;332004;330967;315588;336438;376003;375319;392282;410077;313032;259097;205928;182687;127261;93744;2583742;147143;147656;165156;166143;169860;169194;162205;171224;190918;189147;196272;204428;153214;121620;91351;72900;42275;23036;2693213;140984;141563;158679;159204;162144;161773;153383;165214;185085;186172;196010;205649;159818;137477;114577;109787;84986;70708
"2007";5300484;291628;286249;316713;331920;327266;334682;323951;324082;373599;374364;387167;403762;349870;253225;209415;183591;130708;98292;2596787;148927;146463;161289;169455;167344;171554;166303;165325;189649;188798;193476;201192;171507;119141;93470;73962;44462;24470;2703697;142701;139786;155424;162465;159922;163128;157648;158757;183950;185566;193691;202570;178363;134084;115945;109629;86246;73822
"2008";5326314;295002;286818;309342;333177;325440;340416;334075;311930;368125;377979;381671;394516;375755;255273;217574;180869;134555;103797;2611653;150804;146717;157654;169961;166488;174715;171532;159578;186832;190839;190665;196318;184247;120498;97658;73731;47128;26288;2714661;144198;140101;151688;163216;158952;165701;162543;152352;181293;187140;191006;198198;191508;134775;119916;107138;87427;77509
"2009";5351427;298114;287786;302423;334636;324472;344634;337970;310768;358754;378341;378037;388165;396886;258319;225043;179671;138717;108691;2625067;152197;147367;154256;170583;165988;177022;173572;158921;182143;191110;189311;192402;194857;122578;101250;74193;49230;28087;2726360;145917;140419;148167;164053;158484;167612;164398;151847;176611;187231;188726;195763;202029;135741;123793;105478;89487;80604
"2010";5375276;301621;289347;296709;332084;327780;346063;339277;313917;349683;377077;374857;384108;401712;281997;223495;179637;141752;114160;2638416;154243;147824;151578;169224;167817;177710;174220;161115;177566;190596;187628;190137;197048;134543;100784;75178;51064;30141;2736860;147378;141523;145131;162860;159963;168353;165057;152802;172117;186481;187229;193971;204664;147454;122711;104459;90688;84019
"2011";5401267;302977;293116;292889;327766;332881;345438;340247;320917;339160;375591;371613;383809;395223;296656;239251;180510;144120;119103;2652534;154881;149722;149569;167231;170256;177541;174711;165054;172221;189973;185871;189879;193951;142014;108607;75920;52881;32252;2748733;148096;143394;143320;160535;162625;167897;165536;155863;166939;185618;185742;193930;201272;154642;130644;104590;91239;86851
"2012";5426674;304083;296980;290329;320713;339758;341295;344759;329842;327470;373298;371171;379195;389588;331528;233799;184079;145203;123584;2666622;155281;151706;148569;163421;173775;175226;177454;169502;166649;188707;185863;187478;191222;158967;106568;78139;53901;34194;2760052;148802;145274;141760;157292;165983;166069;167305;160340;160821;184591;185308;191717;198366;172561;127231;105940;91302;89390

"(http://tilastokeskus.fi/til/vaerak/kas.html TARGET=_blank) Käsitteet "
"ja määritelmät "
"(http://tilastokeskus.fi/meta/til/vaerak.html TARGET=_blank) Tilaston "
"kuvaus "
"(http://tilastokeskus.fi/til/vaerak/laa.html TARGET=_blank) "
"Laatuselosteet "

